file,line,action,old,new,reason,context
publication/analysis/legacy-huc12-path-audit.csv,11,review,,,unmapped,"SWATGenX/NSRDB_elev_correction.py,60,review,,,unmapped,""path = f""""{base_path}/{VPUID}/huc12/{NAME}/SWAT_MODEL/Scenarios/Default/TxtInOut"""""""
publication/analysis/legacy-huc12-path-audit.csv,12,review,,,unmapped,"SWATGenX/tests/test_climate_check.py,135,review,,,unmapped,""path = f""""${SWATGENX_USER_PATH}/SWATplus_by_VPUID/{VPUID}/huc12/{station_no}/PRISM/"""""""
publication/analysis/legacy-huc12-path-audit.csv,13,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,2,review,,,unmapped,"".claude/skills/swatgenx/SKILL.md,55,review,,,unmapped,- **Phase 1 (done):** all model-path construction routes through the central"
publication/analysis/legacy-huc12-path-audit.csv,14,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,3,review,,,unmapped,""MODFLOW/MODGenX/archive/MODFLOW_PSO.py,310,review,,,unmapped,NAMES = os.listdir('${SWATGENX_USER_PATH}{username}/SWATplus_by_VP"
publication/analysis/legacy-huc12-path-audit.csv,15,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,4,review,,,unmapped,""MODFLOW/MODGenX/archive/clean_up.py,8,review,,,unmapped,""""path_to_model = os.path.join(f'/data/SWATGenXApp/GenXAppData/{username}/"
publication/analysis/legacy-huc12-path-audit.csv,16,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,5,review,,,unmapped,""MODFLOW/MODGenX/archive/clean_up.py,18,review,,,unmapped,NAMES = os.listdir('${SWATGENX_USER_PATH}{username}/SWATplus_by_VPUID/"
publication/analysis/legacy-huc12-path-audit.csv,17,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,6,review,,,unmapped,""ModelProcessing/test_swatmodels_v1.py,18,review,,,unmapped,""""simulation_path = f""""""""${SWATGENX_USER_PATH}/{VPUID}/"
publication/analysis/legacy-huc12-path-audit.csv,18,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,7,review,,,unmapped,""SWATGenX/NSRDB_elev_correction.py,35,review,,,unmapped,""""path = f""""""""{base_path}/{VPUID}/huc12/{NAME}/PRISM"""""""""""""""
publication/analysis/legacy-huc12-path-audit.csv,19,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,8,review,,,unmapped,""SWATGenX/NSRDB_elev_correction.py,38,review,,,unmapped,""""if os.path.exists(f""""""""{base_path}/{VPUID}/huc12/{NAME}""""""""):"""""""
publication/analysis/legacy-huc12-path-audit.csv,20,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,9,review,,,unmapped,""SWATGenX/NSRDB_elev_correction.py,39,review,,,unmapped,""""#os.rmdir(f""""""""{base_path}/{VPUID}/huc12/{NAME}"""""""")"""""""
publication/analysis/legacy-huc12-path-audit.csv,21,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,10,review,,,unmapped,""SWATGenX/NSRDB_elev_correction.py,40,review,,,unmapped,""""os.system(f""""""""rm -rf {base_path}/{VPUID}/huc12/{NAME}"""""""")"""""""
publication/analysis/legacy-huc12-path-audit.csv,22,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,11,review,,,unmapped,""SWATGenX/NSRDB_elev_correction.py,60,review,,,unmapped,""""path = f""""""""{base_path}/{VPUID}/huc12/{NAME}/SWAT_MODEL/Scenarios/Defaul"
publication/analysis/legacy-huc12-path-audit.csv,23,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,12,review,,,unmapped,""SWATGenX/tests/test_climate_check.py,135,review,,,unmapped,""""path = f""""""""${SWATGENX_USER_PATH}/SWATplus_by_VPUID/{VPUID}/"
publication/analysis/legacy-huc12-path-audit.csv,29,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,18,review,,,unmapped,""publication/analysis/legacy-huc12-path-audit.csv,11,review,,,unmapped,""""SWATGenX/NSRDB_elev_correction.py,35,review,,,unmapped,"""""
publication/analysis/legacy-huc12-path-audit.csv,30,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,19,review,,,unmapped,""publication/analysis/legacy-huc12-path-audit.csv,12,review,,,unmapped,""""SWATGenX/NSRDB_elev_correction.py,38,review,,,unmapped,"""""
publication/analysis/legacy-huc12-path-audit.csv,31,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,20,review,,,unmapped,""publication/analysis/legacy-huc12-path-audit.csv,13,review,,,unmapped,""""SWATGenX/NSRDB_elev_correction.py,39,review,,,unmapped,"""""
publication/analysis/legacy-huc12-path-audit.csv,32,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,21,review,,,unmapped,""publication/analysis/legacy-huc12-path-audit.csv,14,review,,,unmapped,""""SWATGenX/NSRDB_elev_correction.py,40,review,,,unmapped,"""""
publication/analysis/legacy-huc12-path-audit.csv,33,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,22,review,,,unmapped,""publication/analysis/legacy-huc12-path-audit.csv,15,review,,,unmapped,""""SWATGenX/NSRDB_elev_correction.py,60,review,,,unmapped,"""""
publication/analysis/legacy-huc12-path-audit.csv,57,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,74,review,,,unmapped,""publication/analysis/legacy-huc12-path-audit.csv,229,review,,,unmapped,""""publication/analysis/scripts/README.md,11,review,,,unmap"
publication/analysis/legacy-huc12-path-audit.csv,59,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,76,review,,,unmapped,""publication/analysis/legacy-huc12-path-audit.csv,234,review,,,unmapped,""""publication/analysis/scripts/export_objectives_4_5.py,70"
publication/analysis/legacy-huc12-path-audit.csv,60,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,77,review,,,unmapped,""publication/analysis/legacy-huc12-path-audit.csv,235,review,,,unmapped,""""publication/analysis/scripts/export_objectives_4_5.py,77"
publication/analysis/legacy-huc12-path-audit.csv,65,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,82,skip,,,api_or_migration,""publication/analysis/legacy-huc12-path-audit.csv,244,skip,,,api_or_migration,""""scripts/preflight/routes.txt,43,skip,,,api_o"
publication/analysis/legacy-huc12-path-audit.csv,67,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,84,skip,,,api_or_migration,""publication/analysis/legacy-huc12-path-audit.csv,246,skip,,,api_or_migration,""""scripts/preflight/routes.txt,45,skip,,,api_o"
publication/analysis/legacy-huc12-path-audit.csv,68,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,85,skip,,,api_or_migration,""publication/analysis/legacy-huc12-path-audit.csv,251,skip,,,api_or_migration,""""web_application/app/flood_analysis.py,662,sk"
publication/analysis/legacy-huc12-path-audit.csv,69,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,86,skip,,,api_or_migration,""publication/analysis/legacy-huc12-path-audit.csv,252,skip,,,api_or_migration,""""web_application/app/flood_analysis.py,920,sk"
publication/analysis/legacy-huc12-path-audit.csv,70,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,87,skip,,,api_or_migration,""publication/analysis/legacy-huc12-path-audit.csv,253,skip,,,api_or_migration,""""web_application/app/flood_analysis.py,978,sk"
publication/analysis/legacy-huc12-path-audit.csv,71,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,88,skip,,,api_or_migration,""publication/analysis/legacy-huc12-path-audit.csv,254,skip,,,api_or_migration,""""web_application/app/flood_analysis.py,1027,s"
publication/analysis/legacy-huc12-path-audit.csv,76,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,93,skip,,,api_or_migration,""publication/analysis/legacy-huc12-path-audit.csv,260,skip,,,api_or_migration,""""web_application/frontend/src/components/Floo"
publication/analysis/legacy-huc12-path-audit.csv,77,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,94,skip,,,api_or_migration,""publication/analysis/legacy-huc12-path-audit.csv,261,skip,,,api_or_migration,""""web_application/frontend/src/components/Floo"
publication/analysis/legacy-huc12-path-audit.csv,80,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,97,skip,,,api_or_migration,""publication/analysis/legacy-huc12-path-audit.csv,264,skip,,,api_or_migration,""""web_application/frontend/src/components/Floo"
publication/analysis/legacy-huc12-path-audit.csv,82,review,,,unmapped,"publication/analysis/legacy-huc12-path-audit.csv,99,review,,,unmapped,""publication/analysis/legacy-huc12-path-audit.csv,381,review,,,unmapped,""""web_application/frontend/src/utils/stateSwatExplorerDeep"
publication/analysis/legacy-huc12-path-audit.csv,83,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,100,skip,,,api_or_migration,""scripts/preflight/routes.txt,42,skip,,,api_or_migration,flood.flood_explorer_huc12_catchments_batch	POST	/api/flood/explor"
publication/analysis/legacy-huc12-path-audit.csv,84,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,101,skip,,,api_or_migration,""scripts/preflight/routes.txt,43,skip,,,api_or_migration,flood.flood_explorer_huc12_upstream	GET	/api/flood/explorer/huc12/"
publication/analysis/legacy-huc12-path-audit.csv,85,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,102,skip,,,api_or_migration,""scripts/preflight/routes.txt,44,skip,,,api_or_migration,flood.flood_explorer_huc12_watershed_boundaries	POST	/api/flood/ex"
publication/analysis/legacy-huc12-path-audit.csv,86,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,103,skip,,,api_or_migration,""scripts/preflight/routes.txt,45,skip,,,api_or_migration,flood.flood_huc12_catchments	GET	/api/flood/huc12/<huc12_code>/cat"
publication/analysis/legacy-huc12-path-audit.csv,87,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,104,skip,,,api_or_migration,""web_application/app/flood_analysis.py,662,skip,,,api_or_migration,""""@flood_bp.route('/api/flood/huc12/<huc12_code>/catchme"
publication/analysis/legacy-huc12-path-audit.csv,88,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,105,skip,,,api_or_migration,""web_application/app/flood_analysis.py,920,skip,,,api_or_migration,""""@flood_bp.route(""""""""/api/flood/explorer/huc12/<huc12_c"
publication/analysis/legacy-huc12-path-audit.csv,89,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,106,skip,,,api_or_migration,""web_application/app/flood_analysis.py,978,skip,,,api_or_migration,""""@flood_bp.route(""""""""/api/flood/explorer/huc12/watershe"
publication/analysis/legacy-huc12-path-audit.csv,90,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,107,skip,,,api_or_migration,""web_application/app/flood_analysis.py,1027,skip,,,api_or_migration,""""@flood_bp.route(""""""""/api/flood/explorer/huc12/catchme"
publication/analysis/legacy-huc12-path-audit.csv,91,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,108,skip,,,api_or_migration,""web_application/app/viz_report.py,24,skip,,,api_or_migration,""""names_path = """"""""/data/SWATGenXApp/GenXAppData/SWATplus_by_"
publication/analysis/legacy-huc12-path-audit.csv,92,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,109,skip,,,api_or_migration,""web_application/app/viz_report.py,53,skip,,,api_or_migration,""""base_path = f""""""""/data/SWATGenXApp/GenXAppData/SWATplus_by_"
publication/analysis/legacy-huc12-path-audit.csv,93,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,110,skip,,,api_or_migration,""web_application/app/viz_report.py,109,skip,,,api_or_migration,""""file_path = f""""""""/data/SWATGenXApp/GenXAppData/SWATplus_by"
publication/analysis/legacy-huc12-path-audit.csv,94,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,111,skip,,,api_or_migration,""web_application/config.py,174,skip,,,api_or_migration,""""VISUALIZATION_PATH = os.getenv('VISUALIZATION_PATH', '/data/SWATGe"
publication/analysis/legacy-huc12-path-audit.csv,95,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,112,skip,,,api_or_migration,""web_application/frontend/src/components/FloodMap.js,1449,skip,,,api_or_migration,const upUrl = `/api/flood/explorer/huc12/"
publication/analysis/legacy-huc12-path-audit.csv,96,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,113,skip,,,api_or_migration,""web_application/frontend/src/components/FloodMap.js,1468,skip,,,api_or_migration,""""`/api/flood/huc12/${encodeURIComponent("
publication/analysis/legacy-huc12-path-audit.csv,97,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,114,skip,,,api_or_migration,""web_application/frontend/src/components/FloodMap.js,1487,skip,,,api_or_migration,""""fetchWithCsrf('/api/flood/explorer/huc1"
publication/analysis/legacy-huc12-path-audit.csv,98,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,115,skip,,,api_or_migration,""web_application/frontend/src/components/FloodMap.js,1513,skip,,,api_or_migration,""""return fetchWithCsrf('/api/flood/explor"
publication/analysis/legacy-huc12-path-audit.csv,99,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,116,skip,,,api_or_migration,""web_application/frontend/src/components/FloodMap.js,1525,skip,,,api_or_migration,""""`/api/flood/huc12/${encodeURIComponent("
publication/analysis/legacy-huc12-path-audit.csv,100,skip,,,api_or_migration,"publication/analysis/legacy-huc12-path-audit.csv,117,skip,,,api_or_migration,""web_application/frontend/src/pages/Home.js,342,skip,,,api_or_migration,""""stations API = 25,335; NHD_CONUS_EXTENT huc8/huc1"
publication/analysis/legacy-huc12-path-audit.csv,101,skip,,,api_or_migration,"scripts/preflight/routes.txt,42,skip,,,api_or_migration,flood.flood_explorer_huc12_catchments_batch	POST	/api/flood/explorer/huc12/catchments"
publication/analysis/legacy-huc12-path-audit.csv,102,skip,,,api_or_migration,"scripts/preflight/routes.txt,43,skip,,,api_or_migration,flood.flood_explorer_huc12_upstream	GET	/api/flood/explorer/huc12/<huc12_code>/upstream"
publication/analysis/legacy-huc12-path-audit.csv,103,skip,,,api_or_migration,"scripts/preflight/routes.txt,44,skip,,,api_or_migration,flood.flood_explorer_huc12_watershed_boundaries	POST	/api/flood/explorer/huc12/watershed-boundaries"
publication/analysis/legacy-huc12-path-audit.csv,104,skip,,,api_or_migration,"scripts/preflight/routes.txt,45,skip,,,api_or_migration,flood.flood_huc12_catchments	GET	/api/flood/huc12/<huc12_code>/catchments"
publication/analysis/legacy-huc12-path-audit.csv,105,skip,,,api_or_migration,"web_application/app/flood_analysis.py,662,skip,,,api_or_migration,""@flood_bp.route('/api/flood/huc12/<huc12_code>/catchments', methods=['GET'])"""
publication/analysis/legacy-huc12-path-audit.csv,106,skip,,,api_or_migration,"web_application/app/flood_analysis.py,920,skip,,,api_or_migration,""@flood_bp.route(""""/api/flood/explorer/huc12/<huc12_code>/upstream"""", methods=[""""GET""""])"""
publication/analysis/legacy-huc12-path-audit.csv,107,skip,,,api_or_migration,"web_application/app/flood_analysis.py,978,skip,,,api_or_migration,""@flood_bp.route(""""/api/flood/explorer/huc12/watershed-boundaries"""", methods=[""""POST""""])"""
publication/analysis/legacy-huc12-path-audit.csv,108,skip,,,api_or_migration,"web_application/app/flood_analysis.py,1027,skip,,,api_or_migration,""@flood_bp.route(""""/api/flood/explorer/huc12/catchments"""", methods=[""""POST""""])"""
publication/analysis/legacy-huc12-path-audit.csv,109,skip,,,api_or_migration,"web_application/app/viz_report.py,24,skip,,,api_or_migration,""names_path = """"/data/SWATGenXApp/GenXAppData/SWATplus_by_VPUID/0000/huc12/"""""""
publication/analysis/legacy-huc12-path-audit.csv,110,skip,,,api_or_migration,"web_application/app/viz_report.py,53,skip,,,api_or_migration,""base_path = f""""/data/SWATGenXApp/GenXAppData/SWATplus_by_VPUID/0000/huc12/{name}/figures_SWAT_gwflow_MODEL"""""""
publication/analysis/legacy-huc12-path-audit.csv,111,skip,,,api_or_migration,"web_application/app/viz_report.py,109,skip,,,api_or_migration,""file_path = f""""/data/SWATGenXApp/GenXAppData/SWATplus_by_VPUID/0000/huc12/{name}/figures_SWAT_gwflow_MODEL/verifications_videos/{ver}_{va"
publication/analysis/legacy-huc12-path-audit.csv,112,skip,,,api_or_migration,"web_application/config.py,174,skip,,,api_or_migration,""VISUALIZATION_PATH = os.getenv('VISUALIZATION_PATH', '/data/SWATGenXApp/GenXAppData/SWATplus_by_VPUID/0000/huc12/')"""
publication/analysis/legacy-huc12-path-audit.csv,113,skip,,,api_or_migration,"web_application/frontend/src/components/FloodMap.js,1449,skip,,,api_or_migration,const upUrl = `/api/flood/explorer/huc12/${encodeURIComponent(selectedHuc12)}/upstream`;"
publication/analysis/legacy-huc12-path-audit.csv,114,skip,,,api_or_migration,"web_application/frontend/src/components/FloodMap.js,1468,skip,,,api_or_migration,""`/api/flood/huc12/${encodeURIComponent(selectedHuc12)}/catchments?simplify=${encodeURIComponent(String(simplify))}`,"""
publication/analysis/legacy-huc12-path-audit.csv,115,skip,,,api_or_migration,"web_application/frontend/src/components/FloodMap.js,1487,skip,,,api_or_migration,""fetchWithCsrf('/api/flood/explorer/huc12/watershed-boundaries', {"""
publication/analysis/legacy-huc12-path-audit.csv,116,skip,,,api_or_migration,"web_application/frontend/src/components/FloodMap.js,1513,skip,,,api_or_migration,""return fetchWithCsrf('/api/flood/explorer/huc12/catchments', {"""
publication/analysis/legacy-huc12-path-audit.csv,117,skip,,,api_or_migration,"web_application/frontend/src/components/FloodMap.js,1525,skip,,,api_or_migration,""`/api/flood/huc12/${encodeURIComponent(outletForCatchments)}/catchments?simplify=${encodeURIComponent(String(simplify)"
publication/analysis/legacy-huc12-path-audit.csv,118,skip,,,api_or_migration,"web_application/frontend/src/pages/Home.js,342,skip,,,api_or_migration,""stations API = 25,335; NHD_CONUS_EXTENT huc8/huc12/flowlines from VPUID pickles). */"""
scripts/preflight/routes.txt,42,skip,,,api_or_migration,flood.flood_explorer_huc12_catchments_batch	POST	/api/flood/explorer/huc12/catchments
scripts/preflight/routes.txt,43,skip,,,api_or_migration,flood.flood_explorer_huc12_upstream	GET	/api/flood/explorer/huc12/<huc12_code>/upstream
scripts/preflight/routes.txt,44,skip,,,api_or_migration,flood.flood_explorer_huc12_watershed_boundaries	POST	/api/flood/explorer/huc12/watershed-boundaries
scripts/preflight/routes.txt,45,skip,,,api_or_migration,flood.flood_huc12_catchments	GET	/api/flood/huc12/<huc12_code>/catchments
web_application/app/flood_analysis.py,662,skip,,,api_or_migration,"@flood_bp.route('/api/flood/huc12/<huc12_code>/catchments', methods=['GET'])"
web_application/app/flood_analysis.py,920,skip,,,api_or_migration,"@flood_bp.route(""/api/flood/explorer/huc12/<huc12_code>/upstream"", methods=[""GET""])"
web_application/app/flood_analysis.py,978,skip,,,api_or_migration,"@flood_bp.route(""/api/flood/explorer/huc12/watershed-boundaries"", methods=[""POST""])"
web_application/app/flood_analysis.py,1027,skip,,,api_or_migration,"@flood_bp.route(""/api/flood/explorer/huc12/catchments"", methods=[""POST""])"
web_application/app/viz_report.py,24,skip,,,api_or_migration,"names_path = ""/data/SWATGenXApp/GenXAppData/SWATplus_by_VPUID/0000/huc12/"""
web_application/app/viz_report.py,53,skip,,,api_or_migration,"base_path = f""/data/SWATGenXApp/GenXAppData/SWATplus_by_VPUID/0000/huc12/{name}/figures_SWAT_gwflow_MODEL"""
web_application/app/viz_report.py,109,skip,,,api_or_migration,"file_path = f""/data/SWATGenXApp/GenXAppData/SWATplus_by_VPUID/0000/huc12/{name}/figures_SWAT_gwflow_MODEL/verifications_videos/{ver}_{variable}_animation.gif"""
web_application/config.py,174,skip,,,api_or_migration,"VISUALIZATION_PATH = os.getenv('VISUALIZATION_PATH', '/data/SWATGenXApp/GenXAppData/SWATplus_by_VPUID/0000/huc12/')"
web_application/frontend/src/components/FloodMap.js,1449,skip,,,api_or_migration,const upUrl = `/api/flood/explorer/huc12/${encodeURIComponent(selectedHuc12)}/upstream`;
web_application/frontend/src/components/FloodMap.js,1468,skip,,,api_or_migration,"`/api/flood/huc12/${encodeURIComponent(selectedHuc12)}/catchments?simplify=${encodeURIComponent(String(simplify))}`,"
web_application/frontend/src/components/FloodMap.js,1487,skip,,,api_or_migration,"fetchWithCsrf('/api/flood/explorer/huc12/watershed-boundaries', {"
web_application/frontend/src/components/FloodMap.js,1513,skip,,,api_or_migration,"return fetchWithCsrf('/api/flood/explorer/huc12/catchments', {"
web_application/frontend/src/components/FloodMap.js,1525,skip,,,api_or_migration,"`/api/flood/huc12/${encodeURIComponent(outletForCatchments)}/catchments?simplify=${encodeURIComponent(String(simplify))}`,"
web_application/frontend/src/pages/Home.js,342,skip,,,api_or_migration,"stations API = 25,335; NHD_CONUS_EXTENT huc8/huc12/flowlines from VPUID pickles). */"
