member,soil_scale,koc_scale,kl,lm,percop
105,0.074245,1.266827,0.197082,2421.775473,0.290278
106,0.109577,1.935960,0.204141,2634.270175,0.358494
107,0.135058,1.460803,0.139571,3460.658766,0.394712
108,0.149789,1.709730,0.208820,1897.648436,0.328181
109,0.189239,1.286745,0.246767,3375.379577,0.267305
110,0.139734,1.343101,0.131889,2290.325581,0.184714
111,0.077606,1.154646,0.072627,2128.261577,0.157576
112,0.147491,1.854536,0.180028,3351.514890,0.195021
113,0.114540,1.806675,0.136300,3306.740157,0.309475
114,0.197782,1.447431,0.226957,1816.965491,0.136351
115,0.060036,1.679647,0.206695,1903.820996,0.163583
116,0.103842,1.073165,0.159965,1651.028667,0.109985
117,0.087654,0.783726,0.104189,2734.913176,0.236886
118,0.155009,1.669972,0.126543,2823.476285,0.114089
119,0.081933,1.895534,0.107532,2379.792253,0.398818
