site_no,gis_channel,chandeg_id,swat_lcha,txtinout_chandeg_area_km2,txtinout_rout_unit_upstream_km2,nhd_totdasqkm_km2,nhd_nhdplusid,usgs_da_km2,usgs_da_source,ratio_chandeg_nhd,ratio_chandeg_usgs,ratio_routup_nhd,ratio_nhd_usgs,nhd_pick_rule,nhd_pick_dist_m,station_match_rule
02294898,399,379.0,379.0,1162.67,438.89,995.39,15000700046661.0,1448.27,meta_drainage_area_sqkm,1.1681,0.8028,0.4409,0.6873,distance_only,15.1,distance_only
02295013,968,921.0,921.0,123.18,42.91,133.14,15000700071244.0,165.33,meta_drainage_area_sqkm,0.9252,0.7451,0.3223,0.8053,distance_only,20.1,da_distance
02295163,1501,,,,,113.01,15000700058471.0,57.74,meta_drainage_area_sqkm,,,,1.9573,da_distance,451.6,da_distance
02295194,332,328.0,328.0,1537.73,580.54,1342.3,15000700070531.0,2028.35,meta_drainage_area_sqkm,1.1456,0.7581,0.4325,0.6618,da_distance,12.7,da_distance
02295203,322,318.0,318.0,1548.04,588.38,1353.98,15000700058609.0,2028.35,meta_drainage_area_sqkm,1.1433,0.7632,0.4346,0.6675,da_distance,162.2,distance_only
02295420,792,754.0,754.0,231.22,124.19,181.28,15000700094341.0,312.43,meta_drainage_area_sqkm,1.2755,0.7401,0.6851,0.5802,da_distance,371.9,da_distance
02295435,1893,1739.0,1739.0,13.73,1.32,14.43,15000700058460.0,2028.35,meta_drainage_area_sqkm,0.9513,0.0068,0.0912,0.0071,da_distance,85.0,distance_only
02295440,4746,4147.0,4147.0,1.76,0.0,1665.69,15000700046529.0,2028.35,meta_drainage_area_sqkm,0.0011,0.0009,0.0,0.8212,da_distance,250.0,distance_only
02295520,1044,995.0,995.0,56.45,26.67,49.28,15000700083080.0,121.85,meta_drainage_area_sqkm,1.1455,0.4633,0.5411,0.4044,da_distance,16.7,da_distance
02295521,1044,995.0,995.0,56.45,26.67,49.28,15000700083080.0,121.85,meta_drainage_area_sqkm,1.1455,0.4633,0.5411,0.4044,da_distance,0.9,distance_only
02295580,695,661.0,661.0,110.72,59.04,92.5,15000700034312.0,121.85,meta_drainage_area_sqkm,1.197,0.9086,0.6382,0.7591,distance_only,2.0,distance_only
02295607,281,277.0,277.0,1949.98,813.54,1684.14,15000700094470.0,2028.35,meta_drainage_area_sqkm,1.1579,0.9614,0.4831,0.8303,da_distance,420.7,distance_only
02295637,269,265.0,265.0,2001.16,835.21,1731.62,15000700022140.0,2190.9,meta_drainage_area_sqkm,1.1557,0.9134,0.4823,0.7904,da_distance,3.4,da_distance
02295755,1709,1577.0,1577.0,11.34,4.49,11.36,15000700021547.0,2190.9,meta_drainage_area_sqkm,0.9985,0.0052,0.3952,0.0052,da_distance,8.6,distance_only
02295798,249,245.0,245.0,2167.13,899.54,1897.45,15000700069974.0,3257.2,meta_drainage_area_sqkm,1.1421,0.6653,0.4741,0.5825,da_distance,25.8,da_distance
02295850,922,876.0,876.0,60.19,21.91,58.98,15000700009626.0,58.1,meta_drainage_area_sqkm,1.0204,1.036,0.3715,1.0152,da_distance,483.3,da_distance
02296057,1033,985.0,985.0,41.42,21.36,44.01,15000700023237.0,47.12,meta_drainage_area_sqkm,0.9412,0.8791,0.4853,0.934,da_distance,36.9,da_distance
02296180,2242,2027.0,2027.0,49.18,8.34,40.83,15000700072137.0,94.62,meta_drainage_area_sqkm,1.2045,0.5197,0.2044,0.4315,da_distance,77.9,da_distance
02296191,1938,1778.0,1778.0,89.29,20.5,86.57,15000700072094.0,94.62,meta_drainage_area_sqkm,1.0314,0.9437,0.2368,0.915,da_distance,153.9,distance_only
02296207,1881,1729.0,1729.0,94.87,26.07,86.57,15000700072094.0,94.62,meta_drainage_area_sqkm,1.0958,1.0026,0.3012,0.915,distance_only,12.0,distance_only
02296222,1725,1592.0,1592.0,103.86,35.07,95.58,15000700084216.0,168.95,meta_drainage_area_sqkm,1.0866,0.6147,0.3669,0.5657,da_distance,19.1,da_distance
02296223,1725,1592.0,1592.0,103.86,35.07,95.58,15000700084216.0,168.95,meta_drainage_area_sqkm,1.0866,0.6147,0.3669,0.5657,da_distance,19.1,distance_only
02296260,636,603.0,603.0,498.14,169.97,474.07,15000700059561.0,553.29,meta_drainage_area_sqkm,1.0508,0.9003,0.3585,0.8568,da_distance,443.1,da_distance
02296389,1038,989.0,989.0,176.08,110.73,140.64,15000700095014.0,173.93,meta_drainage_area_sqkm,1.252,1.0124,0.7873,0.8086,da_distance,13.8,da_distance
02296500,535,505.0,505.0,862.79,330.32,805.46,15000700034124.0,864.26,meta_drainage_area_sqkm,1.0712,0.9983,0.4101,0.932,da_distance,330.2,da_distance
02296525,242,238.0,238.0,3228.51,1355.84,2880.54,15000700010017.0,3257.2,meta_drainage_area_sqkm,1.1208,0.9912,0.4707,0.8844,da_distance,203.6,distance_only
02296750,222,218.0,218.0,3405.59,1478.29,3036.01,15000700033482.0,3831.92,meta_drainage_area_sqkm,1.1217,0.8887,0.4869,0.7923,da_distance,29.8,da_distance
02297000,722,686.0,686.0,184.38,24.87,174.14,15000700082207.0,332.46,meta_drainage_area_sqkm,1.0588,0.5546,0.1428,0.5238,da_distance,430.6,da_distance
02297100,625,592.0,592.0,312.12,139.44,289.74,15000700021498.0,332.46,meta_drainage_area_sqkm,1.0773,0.9388,0.4813,0.8715,da_distance,8.6,distance_only
02297105,215,211.0,211.0,3440.72,1491.85,3364.44,15000700009401.0,3831.92,meta_drainage_area_sqkm,1.0227,0.8979,0.4434,0.878,da_distance,274.4,distance_only
02297153,632,599.0,599.0,87.72,72.6,83.63,15000700020085.0,100.5,meta_drainage_area_sqkm,1.0488,0.8728,0.868,0.8322,da_distance,498.3,da_distance
02297155,603,570.0,570.0,125.58,106.25,89.11,15000700056297.0,300.91,meta_drainage_area_sqkm,1.4093,0.4173,1.1924,0.2961,da_distance,167.2,da_distance
02297220,903,857.0,857.0,101.44,74.16,98.41,15000700008579.0,224.36,meta_drainage_area_sqkm,1.0307,0.4521,0.7535,0.4386,da_distance,25.3,da_distance
02297251,491,461.0,461.0,329.48,102.26,288.9,15000700008841.0,436.08,meta_drainage_area_sqkm,1.1405,0.7555,0.354,0.6625,da_distance,26.9,da_distance
02297272,1220,1157.0,1157.0,41.9,5.53,38.65,15000700044733.0,42.95,meta_drainage_area_sqkm,1.0841,0.9757,0.1429,0.9,da_distance,17.6,da_distance
02297290,886,840.0,840.0,74.22,66.81,72.68,15000700092772.0,75.43,meta_drainage_area_sqkm,1.0212,0.9839,0.9193,0.9634,da_distance,83.0,da_distance
02297310,333,329.0,329.0,565.74,245.34,516.24,15000700092763.0,627.96,meta_drainage_area_sqkm,1.0959,0.9009,0.4752,0.8221,da_distance,52.1,da_distance
02297345,181,177.0,177.0,4465.82,1972.15,4010.05,15000700008330.0,4599.15,meta_drainage_area_sqkm,1.1137,0.971,0.4918,0.8719,da_distance,462.8,da_distance
02297350,166,162.0,162.0,4468.19,1973.74,4021.36,15000700020270.0,4599.15,meta_drainage_area_sqkm,1.1111,0.9715,0.4908,0.8744,da_distance,231.6,distance_only
02297460,58,58.0,58.0,4596.79,2063.7,4131.6,15000700008493.0,5746.51,meta_drainage_area_sqkm,1.1126,0.7999,0.4995,0.719,da_distance,156.1,da_distance
02297600,2718,2418.0,2418.0,165.61,165.61,153.72,15000700021819.0,198.16,meta_drainage_area_sqkm,1.0774,0.8357,1.0774,0.7757,da_distance,92.8,da_distance
02297635,1863,1715.0,1715.0,221.57,203.95,202.59,15000700093511.0,247.11,meta_drainage_area_sqkm,1.0937,0.8966,1.0067,0.8198,da_distance,178.3,da_distance
02297733,7776,6789.0,6789.0,0.3,0.3,0.31,15000700083497.0,639.85,meta_drainage_area_sqkm,0.9704,0.0005,0.9704,0.0005,global_closest,531.4,distance_only
02297875,6331,5494.0,5494.0,67.49,67.49,67.22,15000700095966.0,168.45,meta_drainage_area_sqkm,1.004,0.4006,1.004,0.399,da_distance,324.5,da_distance
02298110,772,735.0,735.0,429.87,279.73,413.39,15000700022570.0,639.85,meta_drainage_area_sqkm,1.0399,0.6718,0.6767,0.6461,da_distance,1.5,distance_only
02298123,683,650.0,650.0,639.73,427.55,614.73,15000700082545.0,983.56,meta_drainage_area_sqkm,1.0407,0.6504,0.6955,0.625,da_distance,374.0,da_distance
02298124,699,665.0,665.0,639.69,427.51,626.39,15000700058521.0,983.56,meta_drainage_area_sqkm,1.0212,0.6504,0.6825,0.6369,da_distance,414.7,distance_only
02298170,533,503.0,503.0,723.56,490.21,695.18,15000700033241.0,983.56,meta_drainage_area_sqkm,1.0408,0.7356,0.7052,0.7068,da_distance,2.1,distance_only
02298202,450,428.0,428.0,977.24,1.02,929.9,15000700057519.0,983.56,meta_drainage_area_sqkm,1.0509,0.9936,0.0011,0.9454,da_distance,24.3,distance_only
02298300,38,38.0,38.0,5755.82,2222.35,5229.5,15000700067573.0,5942.17,meta_drainage_area_sqkm,1.1006,0.9686,0.425,0.8801,distance_only,106.8,da_distance
274319081452000,765,728.0,728.0,161.88,62.84,172.48,15000700094785.0,57.16,meta_drainage_area_sqkm,0.9385,2.832,0.3643,3.0175,da_distance,451.3,da_distance
280242081531600,5304,4617.0,4617.0,7.88,7.88,7.95,15000700045800.0,159.47,meta_drainage_area_sqkm,0.9913,0.0494,0.9913,0.0499,da_distance,407.8,distance_only
280441081520200,9317,8083.0,8083.0,13.74,13.74,8.94,15000700009684.0,159.47,meta_drainage_area_sqkm,1.538,0.0862,1.538,0.056,da_distance,253.1,distance_only
280531081520500,3582,3157.0,3157.0,5.56,5.56,4.62,15000700081951.0,159.47,meta_drainage_area_sqkm,1.2041,0.0349,1.2041,0.029,global_closest,1556.3,distance_only
280531081520501,3582,3157.0,3157.0,5.56,5.56,4.62,15000700081951.0,159.47,meta_drainage_area_sqkm,1.2041,0.0349,1.2041,0.029,global_closest,1556.3,distance_only
280557081512300,5157,4492.0,4492.0,2.04,2.04,2.04,15000700070177.0,159.47,meta_drainage_area_sqkm,1.0,0.0128,1.0,0.0128,global_closest,1958.1,distance_only
